Feature,Importance_Difference
NumChargedAtoms,0.21521739130434786
NumAromRings,0.0869565217391304
FractionCSP3,0.07065217391304354
LogP,0.01630434782608693
NumOH,0.006521739130434833
HBA,0.0032608695652173725
LongestAliphaticChain,0.003260869565217361
HBD,0.0021739130434782483
NumEthers,0.0
Chi0v,0.0
PolarRatio,0.0
MolMR,0.0
LabuteASA,0.0
NumAmines,0.0
NumSulfurs,0.0
SMILES_Valid,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
MW,0.0
AliphaticCarbonCount,0.0
CarbonCount,0.0
HeavyAtomCount,0.0
NumRings,0.0
RotBonds,0.0
TPSA,0.0
Chi1v,0.0
